symbol,overall_score,canslim_total,canslim_scores,analysis_date,leadership_data,market
091340.KQ,50.0,3.5,"{'C': 0.0, 'A': 1.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': '091340.KQ', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 2825.0, '52w_high': 3475.0, 'distance_from_high': -18.71}, 'market_performance': {'beta': 0.88, 'relative_strength_3m': -18.0, 'relative_strength_6m': 0.54, 'outperforms_market': True}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 2612.65, 'ma20_slope': 0.8105, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 30.47, 'up_days_ratio': 0.55, 'avg_up_return': 1.91, 'avg_down_return': -1.2, 'strength_ratio': 1.59}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",KOSDAQ
PAYX,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'PAYX', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 158.25, '52w_high': 159.75, 'distance_from_high': -0.94}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 147.69, 'ma20_slope': 0.1748, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 12.63, 'up_days_ratio': 0.6, 'avg_up_return': 0.83, 'avg_down_return': -0.43, 'strength_ratio': 1.94}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
VRSK,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'VRSK', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 317.51, '52w_high': 318.23, 'distance_from_high': -0.23}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 293.73, 'ma20_slope': 0.3363, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 20.89, 'up_days_ratio': 0.5, 'avg_up_return': 1.24, 'avg_down_return': -0.48, 'strength_ratio': 2.59}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
IDXX,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'IDXX', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 525.83, '52w_high': 530.6, 'distance_from_high': -0.9}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 445.56, 'ma20_slope': 0.9185, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 24.07, 'up_days_ratio': 0.65, 'avg_up_return': 1.25, 'avg_down_return': -0.84, 'strength_ratio': 1.49}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
NFLX,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'NFLX', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 1217.94, '52w_high': 1229.57, 'distance_from_high': -0.95}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 1011.5, 'ma20_slope': 2.7213, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 21.92, 'up_days_ratio': 0.6, 'avg_up_return': 1.2, 'avg_down_return': -0.88, 'strength_ratio': 1.36}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
VEEV,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'VEEV', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 284.75, '52w_high': 285.7, 'distance_from_high': -0.33}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 231.37, 'ma20_slope': 0.2384, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 70.59, 'up_days_ratio': 0.55, 'avg_up_return': 2.73, 'avg_down_return': -1.1, 'strength_ratio': 2.48}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
NTES,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'NTES', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 126.06, '52w_high': 126.44, 'distance_from_high': -0.3}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 103.52, 'ma20_slope': 0.2676, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 58.91, 'up_days_ratio': 0.5, 'avg_up_return': 2.84, 'avg_down_return': -1.28, 'strength_ratio': 2.23}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
ZS,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'ZS', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 295.03, '52w_high': 298.0, 'distance_from_high': -1.0}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 211.76, 'ma20_slope': 0.6222, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 42.62, 'up_days_ratio': 0.65, 'avg_up_return': 2.21, 'avg_down_return': -0.63, 'strength_ratio': 3.54}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
COST,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'COST', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 1055.59, '52w_high': 1076.83, 'distance_from_high': -1.97}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 983.83, 'ma20_slope': 0.6727, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 18.7, 'up_days_ratio': 0.5, 'avg_up_return': 1.1, 'avg_down_return': -0.7, 'strength_ratio': 1.58}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
ADP,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'ADP', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 326.53, '52w_high': 327.99, 'distance_from_high': -0.45}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 303.09, 'ma20_slope': 0.2637, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 10.53, 'up_days_ratio': 0.6, 'avg_up_return': 0.74, 'avg_down_return': -0.21, 'strength_ratio': 3.56}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
CRWD,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'CRWD', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 488.76, '52w_high': 491.2, 'distance_from_high': -0.5}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 396.31, 'ma20_slope': 0.8563, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 39.38, 'up_days_ratio': 0.55, 'avg_up_return': 2.38, 'avg_down_return': -1.76, 'strength_ratio': 1.35}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
SAP,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'SAP', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 306.39, '52w_high': 307.24, 'distance_from_high': -0.28}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 277.5, 'ma20_slope': 0.4777, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 18.51, 'up_days_ratio': 0.45, 'avg_up_return': 1.08, 'avg_down_return': -0.76, 'strength_ratio': 1.42}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
AVGO,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'AVGO', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 256.85, '52w_high': 257.88, 'distance_from_high': -0.4}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 205.87, 'ma20_slope': 0.0285, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 32.15, 'up_days_ratio': 0.75, 'avg_up_return': 1.93, 'avg_down_return': -0.76, 'strength_ratio': 2.54}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
SE,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'SE', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 165.77, '52w_high': 169.28, 'distance_from_high': -2.07}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 131.32, 'ma20_slope': 0.4912, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 44.25, 'up_days_ratio': 0.6, 'avg_up_return': 2.26, 'avg_down_return': -1.4, 'strength_ratio': 1.61}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
EBAY,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'EBAY', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 75.95, '52w_high': 76.06, 'distance_from_high': -0.14}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 67.21, 'ma20_slope': 0.084, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 16.62, 'up_days_ratio': 0.65, 'avg_up_return': 0.99, 'avg_down_return': -0.66, 'strength_ratio': 1.49}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
SPOT,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'SPOT', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 671.07, '52w_high': 678.57, 'distance_from_high': -1.11}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 584.4, 'ma20_slope': 1.858, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 36.72, 'up_days_ratio': 0.45, 'avg_up_return': 2.29, 'avg_down_return': -1.36, 'strength_ratio': 1.68}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
NET,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'NET', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 172.57, '52w_high': 177.37, 'distance_from_high': -2.71}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 132.31, 'ma20_slope': 0.4309, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 39.63, 'up_days_ratio': 0.7, 'avg_up_return': 2.68, 'avg_down_return': -0.7, 'strength_ratio': 3.84}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
RBLX,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'RBLX', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 89.95, '52w_high': 90.4, 'distance_from_high': -0.5}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 66.09, 'ma20_slope': 0.2141, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 28.26, 'up_days_ratio': 0.65, 'avg_up_return': 2.08, 'avg_down_return': -0.69, 'strength_ratio': 3.01}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
BOX,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'BOX', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 38.38, '52w_high': 38.4, 'distance_from_high': -0.04}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 32.1, 'ma20_slope': 0.0077, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 62.14, 'up_days_ratio': 0.6, 'avg_up_return': 2.32, 'avg_down_return': -0.7, 'strength_ratio': 3.32}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
MELI,50.0,3.5,"{'C': 1.0, 'A': 0.0, 'N': 0.5, 'S': 1.0, 'L': 0.0, 'I': 1.0, 'M': 0.0}",2025-06-03,"{'symbol': 'MELI', 'analysis_date': '2025-06-03', 'criteria': {'52w_high': {'is_near_high': True, 'current_price': 2602.26, '52w_high': 2635.88, 'distance_from_high': -1.28}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 2122.02, 'ma20_slope': 7.9602, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 29.88, 'up_days_ratio': 0.7, 'avg_up_return': 1.45, 'avg_down_return': -0.87, 'strength_ratio': 1.66}}, 'leadership_score': {'score': 4, 'max_score': 6, 'percentage': 66.7, 'grade': 'B'}}",NASDAQ
