symbol,overall_score,canslim_scores,analysis_date,leadership_data,market
NVDA,5000.0,"{'C': 50, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 100, 'M': 40}",2025-06-02,"{'symbol': 'NVDA', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 137.38, '52w_high': 153.12, 'distance_from_high': -10.28}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 121.98, 'ma20_slope': -0.0458, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 38.29, 'up_days_ratio': 0.55, 'avg_up_return': 2.55, 'avg_down_return': -1.02, 'strength_ratio': 2.49}}, 'leadership_score': {'score': 2, 'max_score': 6, 'percentage': 33.3, 'grade': 'D'}}",NASDAQ
TSLA,4571.4,"{'C': 20, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 100, 'M': 40}",2025-06-02,"{'symbol': 'TSLA', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 342.69, '52w_high': 488.54, 'distance_from_high': -29.85}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 313.39, 'ma20_slope': -0.9744, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 50.99, 'up_days_ratio': 0.55, 'avg_up_return': 3.25, 'avg_down_return': -1.9, 'strength_ratio': 1.71}}, 'leadership_score': {'score': 2, 'max_score': 6, 'percentage': 33.3, 'grade': 'D'}}",NASDAQ
AMD,4571.4,"{'C': 20, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 100, 'M': 40}",2025-06-02,"{'symbol': 'AMD', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 114.63, '52w_high': 187.28, 'distance_from_high': -38.79}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 106.28, 'ma20_slope': -0.1251, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 39.37, 'up_days_ratio': 0.55, 'avg_up_return': 2.66, 'avg_down_return': -1.53, 'strength_ratio': 1.74}}, 'leadership_score': {'score': 2, 'max_score': 6, 'percentage': 33.3, 'grade': 'D'}}",SP500
TMUS,4428.6,"{'C': 50, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 60, 'M': 40}",2025-06-02,"{'symbol': 'TMUS', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 243.06, '52w_high': 275.47, 'distance_from_high': -11.77}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 247.31, 'ma20_slope': 0.1883, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 18.85, 'up_days_ratio': 0.45, 'avg_up_return': 1.0, 'avg_down_return': -0.99, 'strength_ratio': 1.01}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",NASDAQ
AFL,4428.6,"{'C': 70, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 40, 'M': 40}",2025-06-02,"{'symbol': 'AFL', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 103.8, '52w_high': 114.16, 'distance_from_high': -9.07}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 105.41, 'ma20_slope': 0.0244, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 14.1, 'up_days_ratio': 0.5, 'avg_up_return': 0.68, 'avg_down_return': -0.79, 'strength_ratio': 0.87}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",SP500
ABNB,4285.7,"{'C': 20, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'ABNB', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 129.62, '52w_high': 163.93, 'distance_from_high': -20.93}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': True, 'ma20_value': 129.27, 'ma20_slope': -0.0152, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 33.73, 'up_days_ratio': 0.5, 'avg_up_return': 1.69, 'avg_down_return': -1.31, 'strength_ratio': 1.29}}, 'leadership_score': {'score': 2, 'max_score': 6, 'percentage': 33.3, 'grade': 'D'}}",SP500
ABBV,4142.9,"{'C': 50, 'A': 20, 'N': 60, 'S': 50, 'L': 30, 'I': 40, 'M': 40}",2025-06-02,"{'symbol': 'ABBV', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 186.99, '52w_high': 216.66, 'distance_from_high': -13.69}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 189.57, 'ma20_slope': 0.1158, 'ma20_trending_up': True}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 32.97, 'up_days_ratio': 0.55, 'avg_up_return': 1.12, 'avg_down_return': -1.98, 'strength_ratio': 0.56}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",SP500
GOOGL,4000.0,"{'C': 50, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'GOOGL', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 169.03, '52w_high': 206.81, 'distance_from_high': -18.27}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 171.61, 'ma20_slope': -0.2676, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 38.39, 'up_days_ratio': 0.5, 'avg_up_return': 1.85, 'avg_down_return': -1.49, 'strength_ratio': 1.24}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",NASDAQ
GOOG,4000.0,"{'C': 50, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'GOOG', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 170.37, '52w_high': 208.46, 'distance_from_high': -18.27}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 173.39, 'ma20_slope': -0.269, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 38.39, 'up_days_ratio': 0.5, 'avg_up_return': 1.8, 'avg_down_return': -1.47, 'strength_ratio': 1.22}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",NASDAQ
APD,4000.0,"{'C': 50, 'A': 20, 'N': 60, 'S': 0, 'L': 30, 'I': 80, 'M': 40}",2025-06-02,"{'symbol': 'APD', 'analysis_date': '2025-06-02', 'criteria': {'52w_high': {'is_near_high': False, 'current_price': 278.7, '52w_high': 339.07, 'distance_from_high': -17.8}, 'market_performance': {'beta': nan, 'relative_strength_3m': nan, 'relative_strength_6m': nan, 'outperforms_market': False}, 'moving_average': {'above_20w_ma': False, 'ma20_value': 291.96, 'ma20_slope': -0.2115, 'ma20_trending_up': False}, 'macd': {'error': 'insufficient_data'}, 'volatility': {'volatility_20d': 21.54, 'up_days_ratio': 0.45, 'avg_up_return': 1.29, 'avg_down_return': -1.01, 'strength_ratio': 1.28}}, 'leadership_score': {'score': 1, 'max_score': 6, 'percentage': 16.7, 'grade': 'D'}}",SP500
